category,day_of_week,bin_of_day,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,0,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,2,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,3,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,4,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,5,,,,13.000000,0.923077,1.255756,0.348284,1.360402,1.576923,1.361359,1.548104,0.000000,0.600000,1.000000,1.000000,1.400000,2.000000,2.000000,2.000000,2.000000,2.800000,3.400000,3.760000
ART,0,6,,,,13.000000,5.461538,2.295481,0.636652,0.420299,5.269231,-0.527854,2.728489,5.000000,5.600000,6.000000,6.000000,6.400000,7.000000,7.000000,7.000000,7.000000,8.200000,9.100000,9.640000
ART,0,7,,,,13.000000,3.230769,2.087816,0.579056,0.646229,4.358974,0.677729,0.096034,3.000000,3.000000,3.000000,3.000000,3.400000,4.000000,4.600000,5.400000,6.600000,7.000000,7.000000,7.000000
ART,0,8,,,,13.000000,3.846154,2.075498,0.575640,0.539630,4.307692,-0.023074,-0.395170,4.000000,4.000000,4.000000,4.000000,4.400000,5.000000,5.600000,6.200000,6.800000,7.000000,7.000000,7.000000
ART,0,9,,,,13.000000,2.538462,1.506397,0.417799,0.593429,2.269231,-0.086943,-1.007788,3.000000,3.000000,3.000000,3.000000,3.400000,4.000000,4.000000,4.000000,4.000000,4.400000,4.700000,4.880000
ART,0,10,,,,13.000000,3.153846,1.772294,0.491546,0.561947,3.141026,0.045223,-0.306790,3.000000,3.600000,4.000000,4.000000,4.000000,4.000000,4.000000,4.400000,5.600000,6.000000,6.000000,6.000000
ART,0,11,,,,13.000000,2.538462,1.506397,0.417799,0.593429,2.269231,0.604510,1.463811,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.200000,3.800000,4.800000,5.400000,5.760000
ART,0,12,,,,13.000000,2.692308,1.750458,0.485490,0.650170,3.064103,0.336379,-0.526918,3.000000,3.000000,3.000000,3.000000,3.400000,4.000000,4.000000,4.200000,4.800000,5.400000,5.700000,5.880000
ART,0,13,,,,13.000000,1.923077,1.605280,0.445224,0.834745,2.576923,0.574766,-0.411438,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,3.200000,4.000000,4.000000,4.400000,4.700000,4.880000
ART,0,14,,,,13.000000,0.538462,0.660225,0.183114,1.226133,0.435897,0.862613,-0.024536,0.000000,0.600000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.400000,1.700000,1.880000
ART,0,15,,,,13.000000,0.307692,0.480384,0.133235,1.561249,0.230769,0.946212,-1.339394,0.000000,0.000000,0.000000,0.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
ART,0,16,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,17,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
ART,0,18,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,19,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,20,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,21,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
