PatType,Severity,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,1,2160.000000,0.337500,0.000000,5.000000,0.788101,0.016957,0.621104,2.335115,2.638894,6.894015,0.000000,0.000000,0.000000,2.000000,3.000000
ART,2,2160.000000,0.561111,0.000000,7.000000,1.155756,0.024868,1.335773,2.059764,2.166277,4.214449,0.000000,0.000000,0.000000,3.000000,5.000000
CAT,1,2160.000000,0.654630,0.000000,7.000000,1.108800,0.023858,1.229437,1.693782,2.048410,4.526321,0.000000,0.000000,1.000000,3.000000,5.000000
CAT,2,2160.000000,0.987963,0.000000,10.000000,1.477904,0.031799,2.184200,1.495910,1.676073,2.580821,0.000000,0.000000,2.000000,4.000000,6.000000
IVT,1,2160.000000,1.983333,0.000000,14.000000,2.882877,0.062030,8.310977,1.453551,1.454415,1.229618,0.000000,0.000000,3.000000,8.000000,11.000000
IVT,2,2160.000000,3.068056,0.000000,21.000000,4.362935,0.093875,19.035200,1.422052,1.382389,0.988846,0.000000,0.000000,6.000000,12.000000,16.000000
MYE,1,2160.000000,0.382407,0.000000,6.000000,0.837996,0.018031,0.702238,2.191371,2.602833,7.414518,0.000000,0.000000,0.000000,2.000000,4.000000
MYE,2,2160.000000,0.599537,0.000000,8.000000,1.171413,0.025205,1.372209,1.953863,2.414316,6.615847,0.000000,0.000000,1.000000,3.000000,5.000000
OTH,1,2160.000000,0.228241,0.000000,6.000000,0.631311,0.013584,0.398554,2.765988,3.545307,15.690640,0.000000,0.000000,0.000000,2.000000,3.000000
OTH,2,2160.000000,0.361574,0.000000,7.000000,0.884903,0.019040,0.783053,2.447362,2.996742,9.866890,0.000000,0.000000,0.000000,2.000000,4.000000
