PatType,Severity,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,1,0,Monday,0,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,1,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,2,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,3,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,4,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,5,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,6,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,7,13.000000,1.384615,0.000000,4.000000,1.043908,0.289528,1.089744,0.753933,1.140306,2.440450,1.000000,1.000000,2.000000,2.800000,3.760000
ART,1,0,Monday,8,13.000000,1.384615,0.000000,3.000000,1.043908,0.289528,1.089744,0.753933,0.101429,-0.989096,1.000000,1.000000,2.000000,3.000000,3.000000
ART,1,0,Monday,9,13.000000,1.153846,0.000000,3.000000,1.068188,0.296262,1.141026,0.925763,0.616779,-0.607127,0.000000,1.000000,2.000000,3.000000,3.000000
ART,1,0,Monday,10,13.000000,1.384615,0.000000,3.000000,1.043908,0.289528,1.089744,0.753933,0.101429,-0.989096,1.000000,1.000000,2.000000,3.000000,3.000000
ART,1,0,Monday,11,13.000000,1.384615,0.000000,4.000000,1.192928,0.330859,1.423077,0.861559,0.844453,0.509330,1.000000,1.000000,2.000000,3.400000,3.880000
ART,1,0,Monday,12,13.000000,1.000000,0.000000,3.000000,0.912871,0.253185,0.833333,0.912871,0.776770,0.440727,0.000000,1.000000,1.000000,2.400000,2.880000
ART,1,0,Monday,13,13.000000,1.153846,0.000000,3.000000,1.143544,0.317162,1.307692,0.991071,0.441914,-1.215351,0.000000,1.000000,2.000000,3.000000,3.000000
ART,1,0,Monday,14,13.000000,0.923077,0.000000,3.000000,1.037749,0.287820,1.076923,1.124228,1.232688,0.928571,0.000000,1.000000,1.000000,3.000000,3.000000
ART,1,0,Monday,15,13.000000,0.307692,0.000000,1.000000,0.480384,0.133235,0.230769,1.561249,0.946212,-1.339394,0.000000,0.000000,1.000000,1.000000,1.000000
ART,1,0,Monday,16,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,17,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
ART,1,0,Monday,18,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,19,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,20,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,21,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,22,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,23,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,1,Tuesday,0,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
