PatType,Severity,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,1,2160.000000,0.337500,0.000000,5.000000,0.791034,0.017020,0.625735,2.343805,2.661981,7.188988,0.000000,0.000000,0.000000,2.000000,3.000000
ART,2,2160.000000,0.561111,0.000000,8.000000,1.174441,0.025270,1.379311,2.093063,2.390140,5.864206,0.000000,0.000000,0.000000,3.000000,5.000000
CAT,1,2160.000000,0.654630,0.000000,7.000000,1.086008,0.023367,1.179413,1.658966,2.024500,4.725682,0.000000,0.000000,1.000000,3.000000,4.000000
CAT,2,2160.000000,0.987963,0.000000,8.000000,1.495661,0.032182,2.237002,1.513884,1.644256,2.146835,0.000000,0.000000,2.000000,4.000000,6.000000
IVT,1,2160.000000,1.983333,0.000000,17.000000,2.980203,0.064124,8.881612,1.502624,1.600821,1.881022,0.000000,0.000000,3.000000,8.000000,11.000000
IVT,2,2160.000000,3.068056,0.000000,23.000000,4.497902,0.096779,20.231124,1.466043,1.496197,1.328454,0.000000,1.000000,5.000000,13.000000,17.000000
MYE,1,2160.000000,0.382407,0.000000,5.000000,0.808744,0.017401,0.654067,2.114876,2.400693,5.864741,0.000000,0.000000,0.000000,2.000000,3.000000
MYE,2,2160.000000,0.599537,0.000000,7.000000,1.154687,0.024845,1.333302,1.925965,2.372931,6.066820,0.000000,0.000000,1.000000,3.000000,5.000000
OTH,1,2160.000000,0.228241,0.000000,6.000000,0.626894,0.013489,0.392996,2.746633,3.365270,13.395449,0.000000,0.000000,0.000000,2.000000,3.000000
OTH,2,2160.000000,0.361574,0.000000,5.000000,0.864784,0.018607,0.747851,2.391720,2.702151,7.102444,0.000000,0.000000,0.000000,2.000000,4.000000
