PatType,Severity,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,1,0,Monday,0,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,1,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,2,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,3,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,4,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,5,13.000000,0.384615,0.000000,2.000000,0.650444,0.180401,0.423077,1.691153,1.575530,1.801052,0.000000,0.000000,1.000000,1.400000,1.880000
ART,1,0,Monday,6,13.000000,1.923077,0.000000,5.000000,1.705947,0.473145,2.910256,0.887093,0.735254,-0.261762,1.000000,2.000000,3.000000,5.000000,5.000000
ART,1,0,Monday,7,13.000000,1.000000,0.000000,3.000000,1.080123,0.299572,1.166667,1.080123,0.937844,-0.077922,0.000000,1.000000,1.000000,3.000000,3.000000
ART,1,0,Monday,8,13.000000,1.538462,0.000000,3.000000,0.877058,0.243252,0.769231,0.570088,-0.575270,-0.120545,1.000000,2.000000,2.000000,2.400000,2.880000
ART,1,0,Monday,9,13.000000,1.230769,0.000000,4.000000,1.235168,0.342574,1.525641,1.003574,1.053911,0.722761,0.000000,1.000000,2.000000,3.400000,3.880000
ART,1,0,Monday,10,13.000000,0.923077,0.000000,3.000000,0.954074,0.264612,0.910256,1.033580,0.853541,0.220844,0.000000,1.000000,1.000000,2.400000,2.880000
ART,1,0,Monday,11,13.000000,1.307692,0.000000,4.000000,1.315587,0.364878,1.730769,1.006037,0.884500,-0.202864,0.000000,1.000000,2.000000,3.400000,3.880000
ART,1,0,Monday,12,13.000000,1.000000,0.000000,3.000000,0.816497,0.226455,0.666667,0.816497,1.085569,2.277273,1.000000,1.000000,1.000000,2.400000,2.880000
ART,1,0,Monday,13,13.000000,0.615385,0.000000,3.000000,1.120897,0.310881,1.256410,1.821458,1.757802,1.837848,0.000000,0.000000,1.000000,3.000000,3.000000
ART,1,0,Monday,14,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
ART,1,0,Monday,15,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,1,0,Monday,16,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,17,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,1,0,Monday,18,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,19,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,20,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,21,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,22,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,23,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,1,Tuesday,0,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
