PatType,Severity,datetime,arrivals,departures,occupancy,day_of_week,dow_name,bin_of_day,bin_of_week
ART,1,1996-01-01 00:00:00,0.000000,0.000000,0.000000,0,Monday,0,0
ART,1,1996-01-01 01:00:00,0.000000,0.000000,0.000000,0,Monday,1,1
ART,1,1996-01-01 02:00:00,0.000000,0.000000,0.000000,0,Monday,2,2
ART,1,1996-01-01 03:00:00,0.000000,0.000000,0.000000,0,Monday,3,3
ART,1,1996-01-01 04:00:00,0.000000,0.000000,0.000000,0,Monday,4,4
ART,1,1996-01-01 05:00:00,0.000000,0.000000,0.000000,0,Monday,5,5
ART,1,1996-01-01 06:00:00,0.000000,0.000000,0.000000,0,Monday,6,6
ART,1,1996-01-01 07:00:00,0.000000,0.000000,0.000000,0,Monday,7,7
ART,1,1996-01-01 08:00:00,0.000000,0.000000,0.000000,0,Monday,8,8
ART,1,1996-01-01 09:00:00,0.000000,0.000000,0.000000,0,Monday,9,9
ART,1,1996-01-01 10:00:00,0.000000,0.000000,0.000000,0,Monday,10,10
ART,1,1996-01-01 11:00:00,0.000000,0.000000,0.000000,0,Monday,11,11
ART,1,1996-01-01 12:00:00,0.000000,0.000000,0.000000,0,Monday,12,12
ART,1,1996-01-01 13:00:00,0.000000,0.000000,0.000000,0,Monday,13,13
ART,1,1996-01-01 14:00:00,0.000000,0.000000,0.000000,0,Monday,14,14
ART,1,1996-01-01 15:00:00,0.000000,0.000000,0.000000,0,Monday,15,15
ART,1,1996-01-01 16:00:00,0.000000,0.000000,0.000000,0,Monday,16,16
ART,1,1996-01-01 17:00:00,0.000000,0.000000,0.000000,0,Monday,17,17
ART,1,1996-01-01 18:00:00,0.000000,0.000000,0.000000,0,Monday,18,18
ART,1,1996-01-01 19:00:00,0.000000,0.000000,0.000000,0,Monday,19,19
ART,1,1996-01-01 20:00:00,0.000000,0.000000,0.000000,0,Monday,20,20
ART,1,1996-01-01 21:00:00,0.000000,0.000000,0.000000,0,Monday,21,21
ART,1,1996-01-01 22:00:00,0.000000,0.000000,0.000000,0,Monday,22,22
ART,1,1996-01-01 23:00:00,0.000000,0.000000,0.000000,0,Monday,23,23
ART,1,1996-01-02 00:00:00,0.000000,0.000000,0.000000,1,Tuesday,0,24
ART,1,1996-01-02 01:00:00,0.000000,0.000000,0.000000,1,Tuesday,1,25
ART,1,1996-01-02 02:00:00,0.000000,0.000000,0.000000,1,Tuesday,2,26
