datetime,arrivals,departures,occupancy,day_of_week,dow_name,bin_of_day,bin_of_week
1996-01-01 00:00:00,0.000000,0.000000,0.000000,0,Monday,0,0
1996-01-01 01:00:00,0.000000,0.000000,0.000000,0,Monday,1,1
1996-01-01 02:00:00,0.000000,0.000000,0.000000,0,Monday,2,2
1996-01-01 03:00:00,0.000000,0.000000,0.000000,0,Monday,3,3
1996-01-01 04:00:00,0.000000,0.000000,0.000000,0,Monday,4,4
1996-01-01 05:00:00,0.000000,0.000000,0.000000,0,Monday,5,5
1996-01-01 06:00:00,0.000000,0.000000,0.000000,0,Monday,6,6
1996-01-01 07:00:00,1.000000,0.000000,0.266667,0,Monday,7,7
1996-01-01 08:00:00,1.000000,1.000000,1.366667,0,Monday,8,8
1996-01-01 09:00:00,0.000000,1.000000,0.333333,0,Monday,9,9
1996-01-01 10:00:00,0.000000,0.000000,0.000000,0,Monday,10,10
1996-01-01 11:00:00,2.000000,0.000000,0.416667,0,Monday,11,11
1996-01-01 12:00:00,1.000000,1.000000,2.750000,0,Monday,12,12
1996-01-01 13:00:00,0.000000,2.000000,0.500000,0,Monday,13,13
1996-01-01 14:00:00,2.000000,0.000000,1.066667,0,Monday,14,14
1996-01-01 15:00:00,0.000000,2.000000,1.000000,0,Monday,15,15
1996-01-01 16:00:00,0.000000,0.000000,0.000000,0,Monday,16,16
1996-01-01 17:00:00,1.000000,0.000000,0.583333,0,Monday,17,17
1996-01-01 18:00:00,0.000000,0.000000,1.000000,0,Monday,18,18
1996-01-01 19:00:00,0.000000,1.000000,0.000000,0,Monday,19,19
1996-01-01 20:00:00,0.000000,0.000000,0.000000,0,Monday,20,20
1996-01-01 21:00:00,0.000000,0.000000,0.000000,0,Monday,21,21
1996-01-01 22:00:00,0.000000,0.000000,0.000000,0,Monday,22,22
1996-01-01 23:00:00,0.000000,0.000000,0.000000,0,Monday,23,23
1996-01-02 00:00:00,0.000000,0.000000,0.000000,1,Tuesday,0,24
1996-01-02 01:00:00,0.000000,0.000000,0.000000,1,Tuesday,1,25
1996-01-02 02:00:00,0.000000,0.000000,0.000000,1,Tuesday,2,26
1996-01-02 03:00:00,0.000000,0.000000,0.000000,1,Tuesday,3,27
1996-01-02 04:00:00,0.000000,0.000000,0.000000,1,Tuesday,4,28
1996-01-02 05:00:00,0.000000,0.000000,0.000000,1,Tuesday,5,29
1996-01-02 06:00:00,6.000000,0.000000,1.983333,1,Tuesday,6,30
1996-01-02 07:00:00,16.000000,0.000000,12.666667,1,Tuesday,7,31
1996-01-02 08:00:00,11.000000,15.000000,22.233333,1,Tuesday,8,32
1996-01-02 09:00:00,25.000000,16.000000,17.100000,1,Tuesday,9,33
1996-01-02 10:00:00,20.000000,23.000000,25.533333,1,Tuesday,10,34
1996-01-02 11:00:00,25.000000,21.000000,27.350000,1,Tuesday,11,35
1996-01-02 12:00:00,17.000000,23.000000,25.400000,1,Tuesday,12,36
1996-01-02 13:00:00,20.000000,16.000000,27.333333,1,Tuesday,13,37
1996-01-02 14:00:00,20.000000,21.000000,23.616667,1,Tuesday,14,38
1996-01-02 15:00:00,17.000000,15.000000,24.200000,1,Tuesday,15,39
1996-01-02 16:00:00,6.000000,17.000000,19.216667,1,Tuesday,16,40
1996-01-02 17:00:00,9.000000,15.000000,12.383333,1,Tuesday,17,41
1996-01-02 18:00:00,9.000000,8.000000,8.766667,1,Tuesday,18,42
1996-01-02 19:00:00,2.000000,11.000000,3.983333,1,Tuesday,19,43
1996-01-02 20:00:00,3.000000,2.000000,2.750000,1,Tuesday,20,44
1996-01-02 21:00:00,2.000000,3.000000,2.666667,1,Tuesday,21,45
1996-01-02 22:00:00,0.000000,0.000000,2.000000,1,Tuesday,22,46
1996-01-02 23:00:00,0.000000,2.000000,0.083333,1,Tuesday,23,47
1996-01-03 00:00:00,1.000000,1.000000,0.733333,2,Wednesday,0,48
1996-01-03 01:00:00,0.000000,0.000000,0.000000,2,Wednesday,1,49
1996-01-03 02:00:00,0.000000,0.000000,0.000000,2,Wednesday,2,50
1996-01-03 03:00:00,0.000000,0.000000,0.000000,2,Wednesday,3,51
1996-01-03 04:00:00,0.000000,0.000000,0.000000,2,Wednesday,4,52
1996-01-03 05:00:00,2.000000,0.000000,0.066667,2,Wednesday,5,53
1996-01-03 06:00:00,25.000000,0.000000,14.783333,2,Wednesday,6,54
1996-01-03 07:00:00,8.000000,16.000000,27.583333,2,Wednesday,7,55
1996-01-03 08:00:00,18.000000,17.000000,15.616667,2,Wednesday,8,56
1996-01-03 09:00:00,29.000000,17.000000,25.866667,2,Wednesday,9,57
1996-01-03 10:00:00,23.000000,23.000000,32.050000,2,Wednesday,10,58
1996-01-03 11:00:00,30.000000,23.000000,34.100000,2,Wednesday,11,59
1996-01-03 12:00:00,28.000000,32.000000,38.800000,2,Wednesday,12,60
1996-01-03 13:00:00,22.000000,29.000000,30.416667,2,Wednesday,13,61
1996-01-03 14:00:00,21.000000,18.000000,30.116667,2,Wednesday,14,62
1996-01-03 15:00:00,16.000000,22.000000,24.366667,2,Wednesday,15,63
1996-01-03 16:00:00,17.000000,20.000000,22.583333,2,Wednesday,16,64
1996-01-03 17:00:00,7.000000,18.000000,15.116667,2,Wednesday,17,65
1996-01-03 18:00:00,3.000000,8.000000,7.633333,2,Wednesday,18,66
1996-01-03 19:00:00,4.000000,5.000000,4.533333,2,Wednesday,19,67
1996-01-03 20:00:00,3.000000,6.000000,4.733333,2,Wednesday,20,68
1996-01-03 21:00:00,2.000000,2.000000,2.150000,2,Wednesday,21,69
1996-01-03 22:00:00,1.000000,2.000000,1.483333,2,Wednesday,22,70
1996-01-03 23:00:00,0.000000,1.000000,0.000000,2,Wednesday,23,71
1996-01-04 00:00:00,0.000000,0.000000,0.000000,3,Thursday,0,72
1996-01-04 01:00:00,0.000000,0.000000,0.000000,3,Thursday,1,73
1996-01-04 02:00:00,0.000000,0.000000,0.000000,3,Thursday,2,74
