Severity,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
1,0,Monday,0,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
1,0,Monday,1,13.000000,0.307692,0.000000,1.000000,0.480384,0.133235,0.230769,1.561249,0.946212,-1.339394,0.000000,0.000000,1.000000,1.000000,1.000000
1,0,Monday,2,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
1,0,Monday,3,13.000000,0.230769,0.000000,1.000000,0.438529,0.121626,0.192308,1.900292,1.451132,0.094545,0.000000,0.000000,0.000000,1.000000,1.000000
1,0,Monday,4,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0,Monday,5,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0,Monday,6,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
1,0,Monday,7,13.000000,6.692308,0.000000,10.000000,2.868932,0.795698,8.230769,0.428691,-0.911088,0.963250,5.000000,6.000000,9.000000,10.000000,10.000000
1,0,Monday,8,13.000000,9.230769,1.000000,15.000000,3.700312,1.026282,13.692308,0.400867,-1.078644,1.474266,9.000000,10.000000,11.000000,13.200000,14.640000
1,0,Monday,9,13.000000,10.615385,1.000000,18.000000,5.124101,1.421170,26.256410,0.482705,-0.123497,-0.693395,8.000000,9.000000,16.000000,17.400000,17.880000
1,0,Monday,10,13.000000,12.923077,0.000000,18.000000,4.991018,1.384259,24.910256,0.386210,-1.538346,2.779309,11.000000,14.000000,17.000000,17.400000,17.880000
1,0,Monday,11,13.000000,12.692308,0.000000,20.000000,5.250153,1.456130,27.564103,0.413648,-0.950235,1.729841,10.000000,13.000000,17.000000,18.800000,19.760000
1,0,Monday,12,13.000000,11.923077,1.000000,20.000000,4.991018,1.384259,24.910256,0.418601,-0.435687,0.805366,10.000000,12.000000,15.000000,18.800000,19.760000
1,0,Monday,13,13.000000,11.692308,1.000000,16.000000,3.859720,1.070494,14.897436,0.330108,-1.789178,4.738497,11.000000,12.000000,13.000000,16.000000,16.000000
1,0,Monday,14,13.000000,9.846154,0.000000,16.000000,3.804518,1.055184,14.474359,0.386396,-1.061943,3.685695,9.000000,10.000000,11.000000,15.400000,15.880000
1,0,Monday,15,13.000000,7.692308,0.000000,14.000000,3.275785,0.908539,10.730769,0.425852,-0.635308,2.459189,7.000000,8.000000,9.000000,11.600000,13.520000
1,0,Monday,16,13.000000,7.615385,0.000000,11.000000,3.279697,0.909624,10.756410,0.430667,-1.220880,1.110402,7.000000,8.000000,10.000000,11.000000,11.000000
1,0,Monday,17,13.000000,6.153846,0.000000,12.000000,3.555422,0.986097,12.641026,0.577756,-0.096546,-0.892160,3.000000,6.000000,9.000000,10.800000,11.760000
1,0,Monday,18,13.000000,4.076923,0.000000,11.000000,3.094660,0.858304,9.576923,0.759068,0.732633,0.881904,2.000000,4.000000,5.000000,9.200000,10.640000
1,0,Monday,19,13.000000,2.692308,0.000000,6.000000,1.702186,0.472101,2.897436,0.632240,0.448763,-0.251783,2.000000,2.000000,4.000000,5.400000,5.880000
