PatType,Severity,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,1,0,Monday,0,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,1,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,2,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,3,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,4,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,5,13.000000,0.138462,0.000000,1.016667,0.290385,0.080538,0.084323,2.097224,2.689431,7.741543,0.000000,0.000000,0.183333,0.636667,0.940667
ART,1,0,Monday,6,13.000000,1.358974,0.000000,2.850000,0.906065,0.251297,0.820954,0.666727,0.035246,-0.771852,0.666667,1.333333,1.933333,2.730000,2.826000
ART,1,0,Monday,7,13.000000,2.321795,0.000000,4.916667,1.426524,0.395647,2.034972,0.614406,-0.078181,-0.129713,1.500000,2.550000,3.166667,4.316667,4.796667
ART,1,0,Monday,8,13.000000,1.743590,0.000000,4.116667,1.223488,0.339335,1.496923,0.701706,0.206042,-0.557093,0.883333,1.683333,2.583333,3.376667,3.968667
ART,1,0,Monday,9,13.000000,2.210256,0.000000,3.600000,1.028180,0.285166,1.057155,0.465186,-0.486182,0.174178,1.616667,2.066667,3.000000,3.520000,3.584000
ART,1,0,Monday,10,13.000000,1.711538,0.000000,4.416667,1.282113,0.355594,1.643814,0.749100,0.649412,0.258297,1.083333,1.483333,2.050000,3.666667,4.266667
ART,1,0,Monday,11,13.000000,1.611538,0.000000,2.950000,1.113561,0.308846,1.240018,0.690992,-0.347041,-1.547792,0.733333,1.916667,2.583333,2.890000,2.938000
ART,1,0,Monday,12,13.000000,1.578205,0.000000,4.750000,1.403177,0.389171,1.968907,0.889097,1.137257,0.694601,0.733333,1.116667,2.333333,3.970000,4.594000
ART,1,0,Monday,13,13.000000,1.346154,0.000000,4.466667,1.262166,0.350062,1.593063,0.937609,1.391569,2.020866,0.500000,1.000000,1.700000,3.536667,4.280667
ART,1,0,Monday,14,13.000000,0.794872,0.000000,2.833333,0.907081,0.251579,0.822796,1.141166,1.216336,0.748077,0.000000,0.500000,0.950000,2.433333,2.753333
ART,1,0,Monday,15,13.000000,0.065385,0.000000,0.500000,0.141169,0.039153,0.019929,2.159060,2.823805,8.553628,0.000000,0.000000,0.083333,0.300000,0.460000
ART,1,0,Monday,16,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,1,0,Monday,17,13.000000,0.064103,0.000000,0.666667,0.186816,0.051813,0.034900,2.914332,3.277258,11.029155,0.000000,0.000000,0.000000,0.366667,0.606667
ART,1,0,Monday,18,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,19,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,20,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,21,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,22,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,Monday,23,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,1,Tuesday,0,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
