Severity,day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
1,0,Monday,0,13.000000,0.214103,0.000000,0.666667,0.260239,0.072177,0.067724,1.215488,0.630775,-1.332521,0.000000,0.000000,0.416667,0.626667,0.658667
1,0,Monday,1,13.000000,0.102564,0.000000,0.500000,0.186816,0.051813,0.034900,1.821458,1.757802,1.837848,0.000000,0.000000,0.166667,0.500000,0.500000
1,0,Monday,2,13.000000,0.156410,0.000000,0.900000,0.280256,0.077729,0.078543,1.791801,1.903749,3.367078,0.000000,0.000000,0.316667,0.660000,0.852000
1,0,Monday,3,13.000000,0.057692,0.000000,0.416667,0.129030,0.035787,0.016649,2.236528,2.359507,5.068411,0.000000,0.000000,0.000000,0.316667,0.396667
1,0,Monday,4,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0,Monday,5,13.000000,0.733333,0.000000,2.166667,0.745791,0.206845,0.556204,1.016987,0.931006,-0.335770,0.166667,0.633333,0.916667,2.036667,2.140667
1,0,Monday,6,13.000000,6.601282,0.000000,10.683333,2.589075,0.718080,6.703308,0.392208,-1.240679,2.930617,5.616667,7.566667,7.916667,9.333333,10.413333
1,0,Monday,7,13.000000,11.947436,0.266667,19.950000,4.578876,1.269952,20.966104,0.383252,-1.030099,3.386099,10.700000,11.983333,14.350000,17.460000,19.452000
1,0,Monday,8,13.000000,10.344872,1.366667,15.866667,3.976059,1.102760,15.809046,0.384351,-0.844715,0.731846,8.966667,10.966667,13.383333,14.846667,15.662667
1,0,Monday,9,13.000000,14.102564,0.333333,19.583333,4.685976,1.299656,21.958373,0.332278,-2.235400,6.731799,13.266667,14.350000,17.066667,18.633333,19.393333
1,0,Monday,10,13.000000,15.670513,0.000000,25.133333,5.617471,1.558006,31.555979,0.358474,-1.609511,5.612751,14.833333,16.383333,17.266667,22.263333,24.559333
1,0,Monday,11,13.000000,15.841026,0.416667,20.516667,5.196347,1.441207,27.002019,0.328031,-2.364193,7.029473,14.416667,16.433333,19.383333,20.306667,20.474667
1,0,Monday,12,13.000000,15.233333,1.916667,23.516667,5.701819,1.581400,32.510741,0.374299,-0.835129,1.293344,13.250000,14.633333,18.900000,22.476667,23.308667
1,0,Monday,13,13.000000,13.469231,0.500000,20.633333,4.984605,1.382481,24.846289,0.370073,-1.196966,3.522113,12.050000,13.233333,15.600000,20.453333,20.597333
1,0,Monday,14,13.000000,11.591026,0.000000,19.116667,4.776566,1.324781,22.815584,0.412092,-0.698287,2.595014,10.466667,11.833333,12.800000,19.076667,19.108667
1,0,Monday,15,13.000000,9.838462,0.000000,14.616667,4.083404,1.132532,16.674184,0.415045,-1.020531,1.544668,8.300000,10.850000,12.250000,14.596667,14.612667
1,0,Monday,16,13.000000,8.594872,0.000000,14.450000,3.746593,1.039118,14.036962,0.435910,-0.730423,1.159300,6.383333,9.883333,10.700000,13.580000,14.276000
1,0,Monday,17,13.000000,5.660256,0.000000,10.566667,2.785375,0.772524,7.758312,0.492093,-0.153738,0.441858,4.733333,5.283333,7.066667,9.766667,10.406667
1,0,Monday,18,13.000000,3.398718,0.000000,5.866667,1.738114,0.482066,3.021040,0.511403,-0.288004,-0.389082,2.133333,3.733333,4.150000,5.696667,5.832667
