day_of_week,dow_name,bin_of_day,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Monday,0,13.000000,0.092628,0.000000,0.383333,0.117299,0.032533,0.013759,1.266345,1.399473,1.879857,0.000000,0.062500,0.150000,0.290833,0.364833
0,Monday,1,13.000000,0.104487,0.000000,0.500000,0.164627,0.045659,0.027102,1.575571,1.638707,1.779162,0.000000,0.000000,0.125000,0.420000,0.484000
0,Monday,2,13.000000,0.141667,0.000000,0.458333,0.166536,0.046189,0.027734,1.175551,0.754253,-0.919225,0.000000,0.079167,0.250000,0.405833,0.447833
0,Monday,3,13.000000,0.014423,0.000000,0.104167,0.032258,0.008947,0.001041,2.236528,2.359507,5.068411,0.000000,0.000000,0.000000,0.079167,0.099167
0,Monday,4,13.000000,0.033974,0.000000,0.441667,0.122496,0.033974,0.015005,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.176667,0.388667
0,Monday,5,13.000000,0.525641,0.000000,0.900000,0.278658,0.077286,0.077650,0.530129,-0.898083,-0.224611,0.479167,0.625000,0.675000,0.837500,0.887500
0,Monday,6,13.000000,5.869551,0.000000,7.145833,1.892007,0.524748,3.579689,0.322343,-2.849317,8.932759,5.795833,6.720833,6.845833,6.980833,7.112833
0,Monday,7,13.000000,11.024679,0.066667,14.170833,3.442169,0.954686,11.848526,0.312224,-3.048502,10.374426,11.000000,11.579167,12.204167,13.688333,14.074333
0,Monday,8,13.000000,9.433654,0.341667,13.820833,3.104456,0.861021,9.637646,0.329083,-2.134924,6.823782,9.204167,9.300000,10.708333,12.405833,13.537833
0,Monday,9,13.000000,13.179487,0.083333,18.791667,4.286188,1.188775,18.371405,0.325217,-2.541436,8.535755,13.162500,13.666667,14.400000,17.224167,18.478167
0,Monday,10,13.000000,15.250962,0.000000,19.991667,5.034298,1.396263,25.344153,0.330097,-2.569549,7.921369,15.475000,16.070833,17.787500,19.874167,19.968167
0,Monday,11,13.000000,16.671795,0.104167,22.325000,5.511194,1.528530,30.373256,0.330570,-2.483763,7.610458,16.475000,17.008333,18.966667,21.812500,22.222500
0,Monday,12,13.000000,16.435897,0.895833,21.137500,5.099873,1.414450,26.008702,0.310289,-2.672752,8.130911,17.233333,17.929167,18.375000,20.407500,20.991500
0,Monday,13,13.000000,14.566026,0.125000,19.983333,4.911572,1.362225,24.123535,0.337194,-2.317513,6.717741,14.066667,15.695833,16.675000,19.185833,19.823833
0,Monday,14,13.000000,11.985577,0.533333,18.466667,4.287718,1.189199,18.384527,0.357740,-1.396675,4.058843,10.887500,12.645833,14.312500,17.421667,18.257667
0,Monday,15,13.000000,10.075000,0.500000,15.316667,3.556618,0.986428,12.649534,0.353014,-1.493361,4.192180,9.366667,10.366667,11.312500,14.154167,15.084167
0,Monday,16,13.000000,7.826282,0.000000,11.200000,2.894529,0.802798,8.378300,0.369847,-1.771387,3.892618,6.691667,9.091667,9.412500,10.445000,11.049000
0,Monday,17,13.000000,5.629167,0.291667,8.020833,1.941376,0.538441,3.768941,0.344878,-1.744367,4.478926,4.837500,6.166667,6.641667,7.773333,7.971333
0,Monday,18,13.000000,3.496474,0.500000,5.762500,1.334719,0.370184,1.781475,0.381733,-0.553080,1.181537,2.754167,3.516667,4.116667,5.350000,5.680000
0,Monday,19,13.000000,2.228526,0.000000,3.579167,0.962467,0.266940,0.926342,0.431885,-0.654279,1.203077,1.862500,2.033333,3.200000,3.424167,3.548167
0,Monday,20,13.000000,1.054808,0.000000,2.083333,0.589071,0.163379,0.347005,0.558463,0.169469,-0.200967,0.720833,1.020833,1.458333,1.995833,2.065833
0,Monday,21,13.000000,0.645192,0.000000,1.250000,0.407705,0.113077,0.166224,0.631913,-0.098895,-0.864232,0.416667,0.633333,1.000000,1.220000,1.244000
0,Monday,22,13.000000,0.322756,0.000000,0.625000,0.255425,0.070842,0.065242,0.791386,-0.253714,-1.846316,0.020833,0.433333,0.575000,0.600000,0.620000
0,Monday,23,13.000000,0.292308,0.000000,0.854167,0.304290,0.084395,0.092592,1.040991,0.551599,-1.089571,0.000000,0.208333,0.487500,0.759167,0.835167
1,Tuesday,0,13.000000,0.133013,0.000000,0.604167,0.175705,0.048732,0.030872,1.320964,1.759639,3.630162,0.000000,0.125000,0.183333,0.429167,0.569167
1,Tuesday,1,13.000000,0.069872,0.000000,0.375000,0.129034,0.035788,0.016650,1.846724,1.660863,1.447911,0.000000,0.000000,0.041667,0.300000,0.360000
1,Tuesday,2,13.000000,0.025641,0.000000,0.333333,0.092450,0.025641,0.008547,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.133333,0.293333
1,Tuesday,3,13.000000,0.033333,0.000000,0.366667,0.101835,0.028244,0.010370,3.055050,3.419396,11.919643,0.000000,0.000000,0.000000,0.186667,0.330667
1,Tuesday,4,13.000000,0.043269,0.000000,0.291667,0.090196,0.025016,0.008135,2.084520,2.166457,4.400566,0.000000,0.000000,0.000000,0.204167,0.274167
1,Tuesday,5,13.000000,0.121795,0.000000,0.504167,0.186084,0.051610,0.034627,1.527846,1.316937,0.348064,0.000000,0.000000,0.166667,0.476667,0.498667
1,Tuesday,6,13.000000,0.922115,0.508333,1.712500,0.357878,0.099258,0.128077,0.388106,1.381153,1.073819,0.695833,0.783333,0.937500,1.615000,1.693000
1,Tuesday,7,13.000000,7.679167,4.616667,10.108333,1.545162,0.428551,2.387526,0.201215,-0.267981,-0.147754,6.929167,7.550000,8.812500,9.760833,10.038833
1,Tuesday,8,13.000000,11.355449,8.316667,14.091667,1.719975,0.477035,2.958314,0.151467,-0.458636,-0.523806,10.808333,11.662500,12.404167,13.421667,13.957667
1,Tuesday,9,13.000000,8.362821,4.758333,10.608333,1.377924,0.382167,1.898673,0.164768,-1.255087,3.825968,8.191667,8.554167,8.750000,10.205833,10.527833
