category,day_of_week,bin_of_day,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
CAT,0,0,,,,13.000000,0.125641,0.240814,0.066790,1.916684,0.057991,1.522946,0.509139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.500000,0.500000,0.553333,0.593333,0.617333
CAT,0,1,,,,13.000000,0.025641,0.092450,0.025641,3.605551,0.008547,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.233333,0.293333
CAT,0,2,,,,13.000000,0.074359,0.268105,0.074359,3.605551,0.071880,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386667,0.676667,0.850667
CAT,0,3,,,,13.000000,0.087179,0.268238,0.074396,3.076846,0.071952,3.436715,12.025087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.133333,0.486667,0.726667,0.870667
CAT,0,4,,,,13.000000,0.328205,0.441136,0.122349,1.344087,0.194601,0.672111,-1.657170,0.000000,0.000000,0.126667,0.506667,0.700000,0.800000,0.820000,0.866667,0.966667,1.000000,1.000000,1.000000
CAT,0,5,,,,13.000000,0.228205,0.391068,0.108463,1.713670,0.152934,1.449352,0.559490,0.000000,0.000000,0.000000,0.000000,0.133333,0.333333,0.513333,0.706667,0.926667,1.000000,1.000000,1.000000
CAT,0,6,,,,13.000000,0.115385,0.258061,0.071573,2.236528,0.066595,2.359507,5.068411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.233333,0.433333,0.633333,0.733333,0.793333
CAT,0,7,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,0,8,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,0,9,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,0,10,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
CAT,0,11,,,,13.000000,0.087179,0.276733,0.076752,3.174291,0.076581,3.501203,12.410575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026667,0.106667,0.480000,0.740000,0.896000
CAT,0,12,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
CAT,0,13,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
CAT,0,14,,,,13.000000,0.025641,0.092450,0.025641,3.605551,0.008547,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.233333,0.293333
CAT,0,15,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,0,16,,,,13.000000,0.058974,0.145395,0.040325,2.465387,0.021140,2.270519,3.921718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066667,0.266667,0.373333,0.403333,0.421333
CAT,0,17,,,,13.000000,1.394872,0.984871,0.273154,0.706066,0.969972,0.665605,-0.194322,1.266667,1.286667,1.320000,1.380000,1.680000,2.100000,2.180000,2.346667,2.686667,3.026667,3.196667,3.298667
CAT,0,18,,,,13.000000,4.317949,1.674903,0.464534,0.387893,2.805299,-1.318180,2.990049,4.900000,4.900000,4.926667,5.006667,5.206667,5.466667,5.506667,5.553333,5.613333,6.086667,6.426667,6.630667
CAT,0,19,,,,13.000000,5.425641,2.378264,0.659612,0.438338,5.656140,-0.874930,0.699516,5.666667,5.746667,5.986667,6.546667,7.133333,7.733333,7.753333,7.793333,7.873333,8.020000,8.110000,8.164000
CAT,0,20,,,,13.000000,5.784615,2.410149,0.668455,0.416648,5.808818,-1.243629,1.355376,6.600000,6.980000,7.246667,7.286667,7.340000,7.400000,7.520000,7.606667,7.626667,8.033333,8.333333,8.513333
CAT,0,21,,,,13.000000,6.374359,2.860269,0.793296,0.448715,8.181140,-0.614573,0.781329,6.233333,6.853333,7.313333,7.453333,7.686667,7.966667,8.826667,9.433333,9.533333,10.020000,10.360000,10.564000
CAT,0,22,,,,13.000000,6.305128,3.033023,0.841209,0.481041,9.199231,-0.463751,-0.030342,6.466667,6.606667,6.920000,7.580000,8.000000,8.300000,9.160000,9.746667,9.786667,10.133333,10.383333,10.533333
CAT,0,23,,,,13.000000,6.666667,2.516979,0.698084,0.377547,6.335185,-1.230194,2.699782,6.666667,7.246667,7.646667,7.686667,7.806667,7.966667,8.266667,8.613333,9.053333,9.666667,10.016667,10.226667
CAT,0,24,,,,13.000000,6.792308,2.428387,0.673513,0.357520,5.897066,-1.164465,1.244146,7.900000,7.920000,8.006667,8.226667,8.313333,8.333333,8.493333,8.646667,8.786667,9.220000,9.510000,9.684000
CAT,0,25,,,,13.000000,6.248718,2.854613,0.791727,0.456832,8.148818,0.019178,0.211394,6.800000,6.960000,7.126667,7.306667,7.580000,7.900000,8.200000,8.573333,9.093333,10.253333,10.993333,11.437333
CAT,0,26,,,,13.000000,6.202564,2.875486,0.797516,0.463596,8.268419,-1.026216,0.416631,6.633333,7.033333,7.406667,7.726667,7.940000,8.100000,8.620000,9.026667,9.206667,9.280000,9.290000,9.296000
CAT,0,27,,,,13.000000,5.897436,2.584801,0.716895,0.438292,6.681197,-0.514869,1.732576,6.300000,6.320000,6.466667,6.866667,7.120000,7.300000,7.560000,7.800000,8.000000,9.133333,9.933333,10.413333
CAT,0,28,,,,13.000000,5.205128,2.431234,0.674303,0.467084,5.910897,-0.701262,0.518933,5.933333,5.933333,5.933333,5.933333,5.986667,6.066667,6.966667,7.573333,7.593333,8.146667,8.556667,8.802667
CAT,0,29,,,,13.000000,5.400000,2.101410,0.582826,0.389150,4.415926,-1.363943,2.955694,5.766667,5.766667,5.840000,6.060000,6.186667,6.266667,6.806667,7.233333,7.433333,7.820000,8.060000,8.204000
CAT,0,30,,,,13.000000,5.123077,2.017579,0.559576,0.393822,4.070627,-1.176268,2.914079,5.333333,5.513333,5.640000,5.660000,5.853333,6.133333,6.233333,6.493333,7.073333,7.666667,7.966667,8.146667
CAT,0,31,,,,13.000000,5.428205,2.644976,0.733584,0.487265,6.995897,0.239777,1.394931,5.133333,5.133333,5.160000,5.240000,5.333333,5.433333,6.753333,7.986667,9.046667,9.893333,10.263333,10.485333
CAT,0,32,,,,13.000000,4.828205,2.143675,0.594548,0.443990,4.595342,-0.544902,1.554481,4.933333,5.153333,5.373333,5.593333,5.720000,5.800000,6.100000,6.406667,6.726667,7.606667,8.186667,8.534667
CAT,0,33,,,,13.000000,4.051282,2.016259,0.559210,0.497684,4.065299,-1.166116,0.725418,5.000000,5.000000,5.020000,5.080000,5.113333,5.133333,5.233333,5.500000,6.100000,6.313333,6.323333,6.329333
CAT,0,34,,,,13.000000,3.205128,1.750442,0.485485,0.546138,3.064046,-0.126656,-0.820425,3.266667,3.586667,3.833333,3.933333,3.980000,4.000000,4.800000,5.360000,5.440000,5.586667,5.676667,5.730667
CAT,0,35,,,,13.000000,2.961538,1.284080,0.356140,0.433585,1.648860,-0.046727,-1.153820,3.466667,3.466667,3.493333,3.573333,3.680000,3.800000,3.820000,4.020000,4.580000,4.833333,4.883333,4.913333
CAT,0,36,,,,13.000000,2.948718,1.428714,0.396254,0.484521,2.041225,-0.820619,-0.312229,3.666667,3.666667,3.686667,3.746667,3.766667,3.766667,3.886667,3.973333,3.993333,4.386667,4.676667,4.850667
CAT,0,37,,,,13.000000,2.328205,1.073058,0.297613,0.460895,1.151453,0.272233,-0.096154,2.100000,2.240000,2.433333,2.733333,2.886667,2.966667,2.986667,3.186667,3.746667,4.080000,4.190000,4.256000
CAT,0,38,,,,13.000000,1.915385,0.938539,0.260304,0.490000,0.880855,-0.325552,0.541759,2.000000,2.080000,2.166667,2.266667,2.300000,2.300000,2.420000,2.600000,2.900000,3.240000,3.420000,3.528000
CAT,0,39,,,,13.000000,1.566667,1.256538,0.348501,0.802046,1.578889,0.908489,0.253855,1.333333,1.533333,1.726667,1.906667,1.980000,2.000000,2.180000,2.566667,3.366667,3.846667,4.006667,4.102667
CAT,0,40,,,,13.000000,1.148718,0.894077,0.247972,0.778326,0.799373,0.537063,-0.183167,1.000000,1.300000,1.500000,1.500000,1.566667,1.666667,1.766667,1.900000,2.100000,2.500000,2.750000,2.900000
CAT,0,41,,,,13.000000,0.879487,0.774541,0.214819,0.880674,0.599915,0.474098,-0.382670,0.833333,0.933333,1.033333,1.133333,1.233333,1.333333,1.433333,1.566667,1.766667,2.073333,2.253333,2.361333
CAT,0,42,,,,13.000000,0.941026,0.729936,0.202448,0.775681,0.532806,0.320337,-1.160029,1.000000,1.000000,1.000000,1.000000,1.106667,1.266667,1.706667,2.000000,2.000000,2.000000,2.000000,2.000000
CAT,0,43,,,,13.000000,0.871795,0.897924,0.249039,1.029972,0.806268,0.726593,-0.425557,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.600000,2.000000,2.000000,2.266667,2.466667,2.586667
CAT,0,44,,,,13.000000,0.661538,0.859678,0.238432,1.299513,0.739046,1.055579,0.086268,0.000000,0.500000,0.833333,0.833333,0.966667,1.166667,1.246667,1.433333,1.833333,2.180000,2.340000,2.436000
CAT,0,45,,,,13.000000,0.453846,0.550511,0.152684,1.212991,0.303063,0.836743,-0.704574,0.133333,0.353333,0.533333,0.633333,0.720000,0.800000,0.900000,1.040000,1.260000,1.400000,1.450000,1.480000
CAT,0,46,,,,13.000000,0.556410,0.689254,0.191165,1.238752,0.475071,0.955222,-0.597813,0.300000,0.420000,0.526667,0.606667,0.713333,0.833333,1.213333,1.506667,1.626667,1.733333,1.783333,1.813333
CAT,0,47,,,,13.000000,0.694872,0.830645,0.230380,1.195394,0.689972,0.535638,-1.600509,0.000000,0.600000,1.000000,1.000000,1.186667,1.466667,1.566667,1.693333,1.873333,1.960000,1.980000,1.992000
CAT,1,0,,,,13.000000,0.358974,0.478647,0.132753,1.333373,0.229103,0.915867,-0.916911,0.000000,0.120000,0.253333,0.413333,0.546667,0.666667,0.866667,1.033333,1.133333,1.166667,1.166667,1.166667
CAT,1,1,,,,13.000000,0.205128,0.397643,0.110286,1.938508,0.158120,1.592102,0.823561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.733333,0.933333,1.000000,1.000000,1.000000
CAT,1,2,,,,13.000000,0.102564,0.284950,0.079031,2.778264,0.081197,3.078409,9.722992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066667,0.266667,0.600000,0.800000,0.920000
CAT,1,3,,,,13.000000,0.074359,0.268105,0.074359,3.605551,0.071880,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386667,0.676667,0.850667
CAT,1,4,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
CAT,1,5,,,,13.000000,0.025641,0.092450,0.025641,3.605551,0.008547,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.233333,0.293333
CAT,1,6,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,1,7,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,1,8,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,1,9,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,1,10,,,,13.000000,0.064103,0.231125,0.064103,3.605551,0.053419,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.583333,0.733333
CAT,1,11,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
CAT,1,12,,,,13.000000,0.074359,0.222841,0.061805,2.996827,0.049658,3.367302,11.598179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.133333,0.420000,0.610000,0.724000
CAT,1,13,,,,13.000000,0.158974,0.321787,0.089248,2.024145,0.103547,1.957055,3.117734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.513333,0.553333,0.740000,0.870000,0.948000
CAT,1,14,,,,13.000000,0.176923,0.369530,0.102489,2.088650,0.136553,2.079116,2.925125,0.000000,0.000000,0.000000,0.000000,0.053333,0.133333,0.153333,0.333333,0.833333,1.000000,1.000000,1.000000
CAT,1,15,,,,13.000000,0.253846,0.487537,0.135218,1.920600,0.237692,1.540125,0.610100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,1.000000,1.000000,1.120000,1.210000,1.264000
CAT,1,16,,,,13.000000,0.166667,0.346944,0.096225,2.081666,0.120370,1.965209,2.622378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.433333,0.733333,0.900000,0.950000,0.980000
CAT,1,17,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CAT,1,18,,,,13.000000,0.128205,0.280491,0.077794,2.187830,0.078675,2.672788,7.329134,0.000000,0.000000,0.000000,0.000000,0.053333,0.133333,0.133333,0.193333,0.373333,0.646667,0.806667,0.902667
CAT,1,19,,,,13.000000,0.941026,1.155755,0.320549,1.228186,1.335769,2.195013,5.857470,0.800000,0.880000,0.940000,0.960000,0.980000,1.000000,1.100000,1.326667,1.806667,2.886667,3.576667,3.990667
CAT,1,20,,,,13.000000,2.279487,1.390879,0.385760,0.610172,1.934544,0.286557,-0.804952,2.600000,2.620000,2.673333,2.793333,2.926667,3.066667,3.166667,3.480000,4.220000,4.533333,4.583333,4.613333
