category,day_of_week,bin_of_day,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,0,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,2,,,,13.000000,0.923077,1.255756,0.348284,1.360402,1.576923,1.361359,1.548104,0.000000,0.600000,1.000000,1.000000,1.400000,2.000000,2.000000,2.000000,2.000000,2.800000,3.400000,3.760000
ART,0,3,,,,13.000000,8.692308,3.146019,0.872549,0.361931,9.897436,-1.828118,4.603723,9.000000,9.000000,9.200000,9.800000,10.400000,11.000000,11.000000,11.200000,11.800000,12.000000,12.000000,12.000000
ART,0,4,,,,13.000000,6.384615,3.014920,0.836188,0.472216,9.089744,-0.264488,0.329952,6.000000,6.000000,6.200000,6.800000,7.800000,9.000000,9.600000,10.000000,10.000000,10.400000,10.700000,10.880000
ART,0,5,,,,13.000000,5.692308,2.136376,0.592524,0.375309,4.564103,-1.586412,3.535294,6.000000,6.600000,7.000000,7.000000,7.000000,7.000000,7.000000,7.200000,7.800000,8.000000,8.000000,8.000000
ART,0,6,,,,13.000000,4.615385,2.785033,0.772429,0.603424,7.756410,0.360789,0.394712,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.600000,6.600000,8.400000,9.400000,9.700000,9.880000
ART,0,7,,,,13.000000,0.846154,0.987096,0.273771,1.166568,0.974359,0.967024,0.160086,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.600000,2.000000,2.000000,2.400000,2.700000,2.880000
ART,0,8,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
ART,0,9,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,10,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,11,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,2,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,3,,,,13.000000,7.692308,1.702186,0.472101,0.221284,2.897436,0.448763,-0.251783,7.000000,7.600000,8.000000,8.000000,8.400000,9.000000,9.000000,9.200000,9.800000,10.400000,10.700000,10.880000
ART,1,4,,,,13.000000,7.538462,2.569546,0.712664,0.340858,6.602564,0.226291,-0.460486,7.000000,7.000000,7.200000,7.800000,8.800000,10.000000,10.000000,10.200000,10.800000,11.400000,11.700000,11.880000
ART,1,5,,,,13.000000,6.846154,1.573010,0.436274,0.229765,2.474359,-0.006288,-0.647812,7.000000,7.000000,7.000000,7.000000,7.400000,8.000000,8.600000,9.000000,9.000000,9.000000,9.000000,9.000000
ART,1,6,,,,13.000000,4.538462,2.145359,0.595015,0.472706,4.602564,1.014870,3.223687,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.200000,5.800000,7.600000,8.800000,9.520000
ART,1,7,,,,13.000000,1.230769,1.363442,0.378151,1.107797,1.858974,1.841642,4.534472,1.000000,1.000000,1.000000,1.000000,1.400000,2.000000,2.000000,2.000000,2.000000,3.200000,4.100000,4.640000
ART,1,8,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
ART,1,9,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
