category,day_of_week,bin_of_day,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,0,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,2,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,3,,,,13.000000,3.307692,1.315587,0.364878,0.397736,1.730769,-1.191618,2.516310,3.000000,3.600000,4.000000,4.000000,4.000000,4.000000,4.000000,4.200000,4.800000,5.000000,5.000000,5.000000
ART,0,4,,,,13.000000,8.230769,3.218536,0.892661,0.391037,10.358974,-1.202880,2.986866,9.000000,9.000000,9.000000,9.000000,9.400000,10.000000,10.000000,10.400000,11.600000,12.400000,12.700000,12.880000
ART,0,5,,,,13.000000,6.000000,2.645751,0.733799,0.440959,7.000000,-1.116713,1.002597,7.000000,7.000000,7.000000,7.000000,7.400000,8.000000,8.000000,8.200000,8.800000,9.000000,9.000000,9.000000
ART,0,6,,,,13.000000,5.692308,2.496151,0.692308,0.438513,6.230769,-1.029644,0.509581,7.000000,7.000000,7.000000,7.000000,7.400000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000
ART,0,7,,,,13.000000,3.384615,1.938146,0.537545,0.572634,3.756410,-0.321292,0.481989,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.600000,5.000000,5.000000,5.800000,6.400000,6.760000
ART,0,8,,,,13.000000,0.615385,0.869718,0.241217,1.413293,0.756410,1.828337,4.133138,0.000000,0.600000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.800000,2.400000,2.760000
ART,0,9,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,10,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,11,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,2,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,3,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,4,,,,13.000000,9.230769,2.618964,0.726370,0.283721,6.858974,0.986076,0.500041,8.000000,9.200000,10.000000,10.000000,10.000000,10.000000,10.600000,11.400000,12.600000,13.800000,14.400000,14.760000
ART,1,5,,,,13.000000,7.153846,2.034951,0.564394,0.284456,4.141026,0.596251,2.147629,7.000000,7.600000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,9.600000,10.800000,11.520000
ART,1,6,,,,13.000000,7.076923,2.431102,0.674266,0.343525,5.910256,-0.146494,-1.120613,7.000000,8.200000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.800000,10.400000,10.760000
ART,1,7,,,,13.000000,3.846154,1.573010,0.436274,0.408982,2.474359,-0.309927,-0.814115,4.000000,4.000000,4.200000,4.800000,5.000000,5.000000,5.000000,5.200000,5.800000,6.000000,6.000000,6.000000
ART,1,8,,,,13.000000,0.538462,0.776250,0.215293,1.441607,0.602564,1.113821,-0.154722,0.000000,0.000000,0.200000,0.800000,1.000000,1.000000,1.000000,1.200000,1.800000,2.000000,2.000000,2.000000
ART,1,9,,,,13.000000,0.076923,0.277350,0.076923,3.605551,0.076923,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.700000,0.880000
