category,day_of_week,bin_of_day,category,day_of_week,bin_of_day,count,mean,stdev,sem,cv,var,skew,kurt,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99
ART,0,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,2,,,,13.000000,0.142949,0.236996,0.065731,1.657911,0.056167,2.192321,5.290431,0.000000,0.045000,0.078333,0.088333,0.155000,0.250000,0.275000,0.300000,0.325000,0.526667,0.671667,0.758667
ART,0,3,,,,13.000000,5.466667,1.993229,0.552822,0.364615,3.972963,-1.632165,4.568469,5.416667,5.686667,5.911667,6.046667,6.155000,6.250000,6.840000,7.306667,7.526667,7.793333,7.938333,8.025333
ART,0,4,,,,13.000000,5.048718,2.162415,0.599746,0.428310,4.676040,-0.910094,1.344653,4.950000,4.995000,5.248333,5.918333,6.265000,6.450000,6.840000,7.125000,7.200000,7.611667,7.901667,8.075667
ART,0,5,,,,13.000000,4.483974,1.634072,0.453210,0.364425,2.670191,-1.730849,4.436635,4.675000,4.820000,4.953333,5.063333,5.143333,5.208333,5.693333,6.035000,6.090000,6.221667,6.306667,6.357667
ART,0,6,,,,13.000000,3.713462,1.816866,0.503908,0.489265,3.301002,-0.543363,0.242462,3.825000,3.910000,3.966667,3.966667,4.193333,4.533333,5.123333,5.653333,6.063333,6.226667,6.246667,6.258667
ART,0,7,,,,13.000000,1.352564,0.905873,0.251244,0.669745,0.820606,0.397666,0.398504,1.375000,1.475000,1.550000,1.575000,1.620000,1.675000,1.880000,2.105000,2.370000,2.768333,3.000833,3.140333
ART,0,8,,,,13.000000,0.189103,0.256069,0.071021,1.354130,0.065572,0.938880,-0.915007,0.000000,0.050000,0.116667,0.216667,0.283333,0.333333,0.483333,0.583333,0.583333,0.600000,0.612500,0.620000
ART,0,9,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,10,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,11,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,0,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,1,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,2,,,,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,3,,,,13.000000,2.500000,0.666371,0.184818,0.266549,0.444051,0.553175,-0.589985,2.450000,2.460000,2.470000,2.480000,2.650000,2.900000,3.120000,3.311667,3.446667,3.578333,3.643333,3.682333
ART,1,4,,,,13.000000,6.554487,2.016106,0.559167,0.307592,4.064683,0.912986,1.510080,6.416667,6.651667,6.898333,7.168333,7.345000,7.475000,7.645000,7.871667,8.211667,9.541667,10.454167,11.001667
ART,1,5,,,,13.000000,5.219231,0.934513,0.259187,0.179052,0.873315,-0.401860,0.071838,5.500000,5.510000,5.526667,5.556667,5.580000,5.600000,5.755000,5.946667,6.211667,6.500000,6.650000,6.740000
ART,1,6,,,,13.000000,4.448077,1.124399,0.311852,0.252783,1.264273,0.496972,-1.404544,4.016667,4.051667,4.193333,4.548333,5.103333,5.758333,5.873333,5.968333,6.023333,6.048333,6.053333,6.056333
ART,1,7,,,,13.000000,1.653846,0.884018,0.245183,0.534523,0.781489,0.281722,-0.250082,1.916667,1.916667,1.933333,1.983333,2.000000,2.000000,2.215000,2.395000,2.505000,2.898333,3.165833,3.326333
ART,1,8,,,,13.000000,0.184615,0.440392,0.122143,2.385456,0.193945,3.015572,9.519438,0.000000,0.000000,0.008333,0.033333,0.041667,0.041667,0.166667,0.300000,0.450000,0.926667,1.246667,1.438667
ART,1,9,,,,13.000000,0.003205,0.011556,0.003205,3.605551,0.000134,3.605551,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016667,0.029167,0.036667
